slug,title,author,isbn,price,inventory,genre,format,description,image_url
"where-the-crawdads-sing-0593105419","Where the Crawdads Sing","Delia Owens","0593105419","24.99","50","Genre Fiction","Hardcover","Where the Crawdads Sing is a highly reviewed Amazon bestselling genre fiction title included in this import set.","https://images-na.ssl-images-amazon.com/images/I/516gRgupVeL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg"
"the-midnight-library-a-novel-0525559477","The Midnight Library: A Novel","Matt Haig","0525559477","13.29","50","Science Fiction & Fantasy","Paperback","The Midnight Library: A Novel is a highly reviewed Amazon bestselling science fiction & fantasy title included in this import set.","https://images-na.ssl-images-amazon.com/images/I/51Ifl1zXhJL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
"a-promised-land-random-house-large-print-1524763160","A Promised Land (Random House Large Print)","Barack Obama","1524763160","16.02","50","Biographies & Memoirs","Hardcover","A Promised Land (Random House Large Print) is a highly reviewed Amazon bestselling biographies & memoirs title included in this import set.","https://images-na.ssl-images-amazon.com/images/I/41Y0cCJ4stL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
"becoming-0525633677","Becoming","Michelle Obama","0525633677","23.04","50","History","Hardcover","Becoming is a highly reviewed Amazon bestselling history title included in this import set.","https://images-na.ssl-images-amazon.com/images/I/51WyaUFeryL._SX218_BO1,204,203,200_QL40_ML2_.jpg"
"too-much-and-never-enough-1471190161","Too Much and Never Enough","Trump Mary L.","1471190161","13.73","50","Biographies & Memoirs","Hardcover","Too Much and Never Enough is a highly reviewed Amazon bestselling biographies & memoirs title included in this import set.","https://images-na.ssl-images-amazon.com/images/I/41DuE-TiMrS._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
"too-much-and-never-enough-how-my-family-created-the-world-s-most-dangerous-man-1982141468","Too Much and Never Enough: How My Family Created the World's Most Dangerous Man","Mary L. Trump Ph.D.","1982141468","12.95","50","Biographies & Memoirs","Paperback","Too Much and Never Enough: How My Family Created the World's Most Dangerous Man is a highly reviewed Amazon bestselling biographies & memoirs title included in this import set.","https://images-na.ssl-images-amazon.com/images/I/51xzDg7YGRL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
"the-silent-patient-1250301696","The Silent Patient","Alex Michaelides","1250301696","12.99","50","Mystery, Thriller & Suspense","Paperback","The Silent Patient is a highly reviewed Amazon bestselling mystery, thriller & suspense title included in this import set.","https://images-na.ssl-images-amazon.com/images/I/41bsvxNUSdL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
"the-boy-the-mole-the-fox-and-the-horse-0062976583","The Boy, the Mole, the Fox and the Horse","Charlie Mackesy","0062976583","10.35","50","Comics & Graphic Novels","Kindle","The Boy, the Mole, the Fox and the Horse is a highly reviewed Amazon bestselling comics & graphic novels title included in this import set.","https://images-na.ssl-images-amazon.com/images/I/418D9yYGB3L._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
"the-boy-the-mole-the-fox-and-the-horse-deluxe-yellow-edition-0063142783","The Boy, the Mole, the Fox and the Horse Deluxe (Yellow) Edition","Charlie Mackesy","0063142783","19.99","50","Comics & Graphic Novels","Kindle","The Boy, the Mole, the Fox and the Horse Deluxe (Yellow) Edition is a highly reviewed Amazon bestselling comics & graphic novels title included in this import set.","https://images-na.ssl-images-amazon.com/images/I/41LsNc3zJHL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg"
"the-four-winds-a-novel-1250178606","The Four Winds: A Novel","Kristin Hannah","1250178606","14.00","50","Genre Fiction","Paperback","The Four Winds: A Novel is a highly reviewed Amazon bestselling genre fiction title included in this import set.","https://images-na.ssl-images-amazon.com/images/I/514hnJtIdIS._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
"the-nightingale-a-novel-0312577222","The Nightingale: A Novel","Kristin Hannah","0312577222","11.15","50","Genre Fiction","Paperback","The Nightingale: A Novel is a highly reviewed Amazon bestselling genre fiction title included in this import set.","https://images-na.ssl-images-amazon.com/images/I/51ws1gOKqdL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
